price,rooms,address
"$1,635 - 2,259",1-3 Beds,"9375 N Saybrook Dr, Fresno, CA 93720"
"$2,098 - 2,600",2-3 Beds,"5355 N Valentine Ave, Fresno, CA 93711"
"$1,417 - 2,251",1-3 Beds,"222 S Clovis Ave, Fresno, CA 93727"
"$1,645 - 2,355",1-3 Beds,"7511 N 1st St, Fresno, CA 93720"
"$1,450 - 1,645",1-2 Beds,"3880 N Fruit Ave, Fresno, CA 93705"
"$1,377 - 2,447",1-3 Beds,"5122 E Olive Ave, Fresno, CA 93727"
"$2,034 - 2,523",2 Beds,"2627-2667 Ashlan Ave, Clovis, CA 93611"
"$1,545 - 2,459",1-2 Beds,"8680 N Glenn Ave, Fresno, CA 93711"
"$2,051 - 3,157",1-3 Beds,"11233 N Alicante Dr, Fresno, CA 93730"
"$1,810 - 3,400",1-3 Beds,"2350 E Alluvial Ave, Fresno, CA 93720"
"$1,613 - 2,319",1-3 Beds,"1650 E Shepherd Ave, Fresno, CA 93720"
"$1,905 - 2,430",1-3 Beds,"5175 N Fresno St, Fresno, CA 93710"
"$1,745 - 2,250",1-2 Beds,"8072 N Millbrook Ave, Fresno, CA 93720"
"$1,615 - 2,492",1-3 Beds,"1164 E Perrin Ave, Fresno, CA 93720"
"$1,486 - 1,850",1-2 Beds,"373 W Nees Ave, Fresno, CA 93711"
Call for Rent,2 Beds,"6050 E Princeton Ave, Fresno, CA 93727"
"$1,245 - 1,495",1-2 Beds,"5739 N Cedar Ave, Fresno, CA 93710"
"$1,295 - 1,865",1-3 Beds,"455 E Nees Ave, Fresno, CA 93720"
"$1,291 - 1,709",1-2 Beds,"315 W Alamos Ave, Clovis, CA 93612"
"$1,250 - 1,605",Studio - 2 Beds,"2823 Willow Ave, Clovis, CA 93612"
"$1,450 - 1,750",1-2 Beds,"740 Villa Ave, Clovis, CA 93612"
"$1,148 - 1,605",1-2 Beds,"215 W Santa Ana Ave, Clovis, CA 93612"
"$1,495 - 1,595",1-2 Beds,"2810 Willow Ave, Clovis, CA 93612"
"$1,937 - 2,718",1-3 Beds,"1242 E Champlain Dr, Fresno, CA 93720"
"$1,500 - 2,488",1-2 Beds,"5220 N Brawley Ave, Fresno, CA 93722"
"$2,034 - 3,398",1-3 Beds,"2740 E Shepherd Ave, Fresno, CA 93720"
"$1,850 - 2,290",1-3 Beds,"9111 N Maple Ave, Fresno, CA 93720"
"$1,295 - 1,960",Studio - 2 Beds,"3143 Matoian Way, Fresno, CA 93710"
"$1,525 - 2,170",1-3 Beds,"4262 W Figarden Dr, Fresno, CA 93722"
"$1,375 - 1,580",1-2 Beds,"475-585 W Sierra Ave, Fresno, CA 93704"
"$1,409 - 1,950",1-2 Beds,"3140 Peach Ave, Clovis, CA 93612"
"$1,565 - 1,765",1-2 Beds,"5490 N Salinas Ave, Fresno, CA 93722"
"$2,475",3 Beds,"5317 N Maroa Ave, Fresno, CA 93704"
"$2,040",1-3 Beds,"1845 E Birch, Fresno, CA 93720"
Call for Rent,3 Beds,"512 W San Jose Ave, Fresno, CA 93704"
"$1,950 - 2,600",1-3 Beds,"8104 N Bond St, Fresno, CA 93720"
"$1,750 - 1,925",2 Beds,"2061 E Spruce Ave, Fresno, CA 93720"
"$1,695 - 2,300",1-3 Beds,"2817 E Spruce Ave, Fresno, CA 93720"
"$1,700 - 2,175",1-3 Beds,"5555 N Dante Ave, Fresno, CA 93722"
