price,rooms,address
"$899 - 1,535",1-3 Beds,"7528 Arlington Expy, Jacksonville, FL 32211"
Call for Rent,1-3 Beds,"440 Burbank Ave, Town Of Nocatee, FL 32081"
"$1,299 - 2,498",Studio - 3 Beds,"1100 Seagate Ave, Neptune Beach, FL 32266"
"$1,545 - 3,250",1-3 Beds,"2753 Mayport Rd, Jacksonville, FL 32233"
"$1,005 - 1,675",1-3 Beds,"5501 University Club Blvd N, Jacksonville, FL 32277"
"$1,338 - 3,563",Studio - 2 Beds,"220 Riverside Ave, Jacksonville, FL 32202"
"$1,099 - 2,050",1-3 Beds,"2445 Dunn Ave, Jacksonville, FL 32218"
"$1,295 - 3,577",1-2 Beds,"5140 Gate Pky N, Jacksonville, FL 32256"
"$1,250 - 1,969",1-2 Beds,"4360 Deerwood Lake Pky, Jacksonville, FL 32216"
"$1,130 - 2,300",Studio - 2 Beds,"11 E Forsyth St, Jacksonville, FL 32202"
"$1,295 - 2,135",1-3 Beds,"9727 Touchton Rd, Jacksonville, FL 32246"
"$731 - 1,149",Studio - 2 Beds,"7703 Hare Ave, Jacksonville, FL 32211"
"$1,349 - 2,059",1-3 Beds,"1462 Solera Ter, Jacksonville, FL 32211"
"$1,554 - 2,738",1-3 Beds,"10667 Brightman Blvd, Jacksonville, FL 32246"
"$1,299 - 1,749",Studio - 3 Beds,"799 Water St, Jacksonville, FL 32204"
"$1,194 - 2,044",1-3 Beds,"4925 Collins Rd, Jacksonville, FL 32244"
"$1,561 - 3,501",1-3 Beds,"10598 Cordgrass Ln, Jacksonville, FL 32258"
"$1,410 - 2,850",Studio - 3 Beds,"8181 AC Skinner Pky, Jacksonville, FL 32256"
"$1,564 - 2,359",1-3 Beds,"11391 Square St, Jacksonville, FL 32256"
"$1,424 - 2,659",1-3 Beds,"11727 Abess Blvd, Jacksonville, FL 32225"
"$1,478 - 2,353",1-3 Beds,"5258 Collins Preserve Ln, Jacksonville, FL 32244"
"$1,400 - 2,042",1-3 Beds,"1173 Pecan Park Rd, Jacksonville, FL 32218"
"$1,432 - 2,897",Studio - 3 Beds,"14051 Beach Blvd, Jacksonville, FL 32250"
"$1,399 - 2,874",1-3 Beds,"8760 Pinnacle Park Blvd, Jacksonville, FL 32256"
"$1,399 - 1,569",2 Beds,"10350 103rd St, Jacksonville, FL 32210"
"$1,055 - 1,600",1-2 Beds,"2600 Art Museum Dr, Jacksonville, FL 32207"
"$899 - 1,535",1-3 Beds,"7528 Arlington Expy, Jacksonville, FL 32211"
Call for Rent,1-3 Beds,"440 Burbank Ave, Town Of Nocatee, FL 32081"
"$1,299 - 2,498",Studio - 3 Beds,"1100 Seagate Ave, Neptune Beach, FL 32266"
"$1,340 - 2,050",1-3 Beds,"2160 Mayport Rd, Atlantic Beach, FL 32233"
"$1,279 - 2,104",1-3 Beds,"65 Sentosa Dr, Saint Johns, FL 32259"
"$1,355 - 2,780",1-3 Beds,"125 Grand Cypress Dr, Saint Johns, FL 32259"
"$1,475 - 2,720",1-3 Beds,"130 N Big Cypress Dr, St Johns, FL 32259"
"$1,315 - 1,705",1-3 Beds,"8859 Old Kings Rd S, Jacksonville, FL 32257"
"$827 - 1,154",1-3 Beds,"3770 Toledo Rd, Jacksonville, FL 32217"
"$1,284 - 1,777",1-3 Beds,"3580 Pall Mall Dr, Jacksonville, FL 32257"
"$999 - 1,500",1-2 Beds,"1706 Art Museum Dr, Jacksonville, FL 32207"
"$1,205 - 1,699",1-2 Beds,"3737 S St Johns Bluff Rd, Jacksonville, FL 32224"
"$1,315 - 3,229",1-3 Beds,"13300 Atlantic Blvd, Jacksonville, FL 32225"
"$1,268 - 3,095",1-2 Beds,"10135 Gate Pky N, Jacksonville, FL 32246"
"$1,345 - 2,182",Studio - 3 Beds,"4870 E Deer Lake Dr, Jacksonville, FL 32246"
"$1,610 - 2,215",2-3 Beds,"8616 Gate Pkwy W, Jacksonville, FL 32216"
"$1,439 - 1,999",1-3 Beds,"8681 AC Skinner Pky, Jacksonville, FL 32256"
