price,rooms,address
"$2,495 - 2,695",2 Beds,"2828-2860 W Ball Rd, Anaheim, CA 92804"
"$2,295 - 2,795",1-2 Beds,"2900 E Lincoln Ave, Anaheim, CA 92806"
"$2,745 - 3,880",1-2 Beds,"2100 E Katella Ave, Anaheim, CA 92806"
"$1,725 - 2,220",1-2 Beds,"2000 W Glenoaks Ave, Anaheim, CA 92801"
"$2,249 - 3,812",Studio - 3 Beds,"1910 S Union St, Anaheim, CA 92805"
"$2,240 - 3,320",Studio - 2 Beds,"1725 S Auburn Way, Anaheim, CA 92805"
"$1,780 - 3,277",Studio - 2 Beds,"2235 W Broadway, Anaheim, CA 92804"
"$2,676 - 3,833",Studio - 3 Beds,"1921 Union St, Anaheim, CA 92805"
"$2,542 - 6,785",Studio - 3 Beds,"1912 S Jacaranda St, Anaheim, CA 92805"
"$2,612 - 6,398",Studio - 3 Beds,"901 E South St, Anaheim, CA 92805"
"$2,409 - 4,235",Studio - 2 Beds,"1815 S Westside Dr, Anaheim, CA 92805"
"$2,243 - 3,176",1-3 Beds,"1250 S Euclid Ave, Anaheim, CA 92802"
"$2,409 - 3,763",1-2 Beds,"8604 E Whitewater Dr, Anaheim, CA 92808"
"$2,690 - 3,240",2-4 Beds,"2130 W Crescent Ave, Anaheim, CA 92801"
"$2,500 - 3,156",2-3 Beds,"12571-12581 9th St, Garden Grove, CA 92840"
"$1,980 - 3,126",Studio - 2 Beds,"200 City Blvd W, Orange, CA 92868"
"$1,943 - 2,830",Studio - 2 Beds,"175 N Feldner Rd, Orange, CA 92868"
"$2,295 - 6,150",Studio - 2 Beds,"299 N State College Blvd, Orange, CA 92868"
"$2,167 - 2,772",1-2 Beds,"310 S Jefferson St, Placentia, CA 92870"
"$2,389 - 4,405",Studio - 3 Beds,"505-535 W Crowther Ave, Placentia, CA 92870"
"$1,934 - 3,233",Studio - 2 Beds,"12091-12156 Bayport St, Garden Grove, CA 92840"
"$2,335 - 2,915",1-2 Beds,"12851 Haster St, Garden Grove, CA 92840"
"$2,035 - 3,245",Studio - 2 Beds,"5601 E Orangethorpe Ave, Anaheim, CA 92807"
"$2,115 - 2,165",1 Bed,"150 S Magnolia Ave, Anaheim, CA 92804"
"$1,880 - 2,600",Studio - 2 Beds,"1000 E La Palma Ave, Anaheim, CA 92805"
"$1,495 - 1,795",Studio - 1 Bed,"3360 W Lincoln Ave, Anaheim, CA 92801"
"$1,350 - 1,550",Studio,"2630 W Lincoln Ave, Anaheim, CA 92801"
"$2,518 - 5,589",Studio - 3 Beds,"385 S Manchester Ave, Orange, CA 92868"
"$2,747 - 3,872",1-3 Beds,"770 S Harbor Blvd, Fullerton, CA 92832"
"$2,700 - 3,050",2 Beds,"140 W Hill Ave, Fullerton, CA 92832"
"$1,880 - 2,920",Studio - 2 Beds,"1480 S Highland Ave, Fullerton, CA 92832"
"$2,275 - 2,795",1-2 Beds,"2960-2965 E Jackson Ave, Anaheim, CA 92806"
"$2,090 - 2,700",1-2 Beds,"120 N Magnolia Ave, Anaheim, CA 92801"
Call for Rent,Studio - 2 Beds,"1331 E Katella Ave, Anaheim, CA 92805"
"$2,510 - 3,615",Studio - 3 Beds,"2211 E Orangewood Ave, Anaheim, CA 92806"
"$1,995 - 2,775",1-2 Beds,"201 S Magnolia Ave, Anaheim, CA 92804"
"$1,840 - 2,850",Studio - 2 Beds,"1540 W Ball Rd, Anaheim, CA 92802"
"$2,600",2 Beds,"2045 S Haster St, Anaheim, CA 92802"
Call for Rent,1-3 Beds,"101-197 N Ridgeway St, Anaheim, CA 92801"
